CONTAINER                     image
api-alarm-wise-mplus          harbor.arfa.wise-paas.com/deviceonbi/api-alarm-wise-mplus:fix-feature2-mirai-4fe23a2
api-connservice-deviceon-bi   harbor.arfa.wise-paas.com/deviceonbi/api-connservice-deviceon-bi:2.0.21
api-datapacker-wise-mplus     harbor.arfa.wise-paas.com/deviceonbi/api-datapacker-wise-mplus:2.0.21
api-dbmaster-wise-mplus       harbor.arfa.wise-paas.com/deviceonbi/api-dbmaster-wise-mplus:2.0.21
api-devtool-wise-mplus        harbor.arfa.wise-paas.com/deviceonbi/api-devtool-wise-mplus:2.0.21
api-dm                        harbor.arfa.wise-paas.com/isensing/api-dpm:2.0.21
api-forwarding-deviceon-bi    harbor.arfa.wise-paas.com/deviceonbi/api-forwarding-deviceon-bi:2.0.21
api-hub-deviceon-bi           harbor.arfa.wise-paas.com/deviceonbi/api-hub-deviceon-bi:2.0.21
api-org-wise-mplus            harbor.arfa.wise-paas.com/deviceonbi/api-org-wise-mplus:fix-NH-7b5826f
api-plugin-deviceon-bi        harbor.arfa.wise-paas.com/deviceonbi/api-plugin-deviceon-bi:2.0.21.1
api-portal-wise-mplus         harbor.arfa.wise-paas.com/deviceonbi/api-portal-wise-mplus:2.0.21
api-profile-server-mplus      harbor.arfa.wise-paas.com/deviceonbi/api-profile-server-mplus:2.0.21
api-report-deviceon-bi        harbor.arfa.wise-paas.com/deviceonbi/api-report-deviceon-bi:2.0.21
api-soe                       harbor.arfa.wise-paas.com/deviceonbi/api-soe:2.0.21
api-sqlhandler-deviceon-bi    harbor.arfa.wise-paas.com/deviceonbi/api-sqlhandler-deviceon-bi:2.0.21
api-subscribe-deviceon-bi     harbor.arfa.wise-paas.com/deviceonbi/api-subscribe-deviceon-bi:2.0.21
apphub-config                 harbor.arfa.wise-paas.com/isensing/device-config:2.0.21
batch-device                  harbor.arfa.wise-paas.com/isensing/batch-device:2.0.21
dashboard-pro                 harbor.wise-paas.com/app-production/dashboard/dashboard:3.0.29
dc-ifp-data-handler           harbor.arfa.wise-paas.com/deviceonbi/dc-ifp-data-handler:2.0.21
dc-import-export-service      harbor.arfa.wise-paas.com/deviceonbi/dc-import-export-service:2.0.25.2
dc-redis-forwarder            harbor.arfa.wise-paas.com/deviceonbi/dc-redis-forwarder:2.0.21
device-config                 harbor.arfa.wise-paas.com/isensing/device-config:2.0.21
dm-playbook                   harbor.arfa.wise-paas.com/isensing/dm-playbook:2.0.21
dpm-cert-notify               harbor.arfa.wise-paas.com/isensing/cert-notify:2.0.21
dpm-cleaner                   harbor.arfa.wise-paas.com/isensing/dpm-cleaner:2.0.21
ifp-tenant                    harbor.arfa.wise-paas.com/ifactory/ifp-tenant:1.2.0
lora-parser                   harbor.arfa.wise-paas.com/isensing/lora-parser:2.0.21
mqtt-proxy                    harbor.arfa.wise-paas.com/isensing/nginx:2.0.21
notification                  harbor.wise-paas.com/app-production/notification/portal-notification:1.2.13
pivot-api-hub                 harbor.arfa.wise-paas.com/ifactory/ifp-api-hub:2.4.0
pivot-calculator              harbor.arfa.wise-paas.com/ifactory/ifp-calculator:1.4.0
pivot-dashboard-importer      harbor.arfa.wise-paas.com/ifactory/ifp-dashboard-importer:1.2.0
pivot-data-hub-api            harbor.arfa.wise-paas.com/ifactory/ifp-data-hub:2.3.0
pivot-data-hub-inbound        harbor.arfa.wise-paas.com/ifactory/ifp-data-hub:2.3.0
pivot-enabler                 harbor.arfa.wise-paas.com/ifactory/ifp-enabler:2.4.1
pivot-etcd                    harbor.arfa.wise-paas.com/ifactory/etcd:3.5.7
pivot-pre-process             harbor.arfa.wise-paas.com/ifactory/ifp-pre-process:1.0.1
pivot-release-notes           harbor.arfa.wise-paas.com/ifactory/ifp-release-notes:1.3.3
portal-dataconnect            harbor.arfa.wise-paas.com/deviceonbi/portal-dataconnect:2.0.21
portal-dpm                    harbor.arfa.wise-paas.com/isensing/portal-dm:2.0.21.1
portal-manage                 harbor.arfa.wise-paas.com/isensing/portal-manage:2.0.21.1
portal-wise-mplus             harbor.arfa.wise-paas.com/deviceonbi/portal-wise-mplus:2.0.21
redis                         harbor.arfa.wise-paas.com/database/redis:6.0.5-debian-10-r32
saas-composer                 harbor.wise-paas.com/app-production/saas-composer/saas-composer:3.3.1
tenant-etcd                   harbor.arfa.wise-paas.com/ifactory/etcd:3.5.7
wise-mplus-archiver           harbor.arfa.wise-paas.com/deviceonbi/wise-mplus-archiver:dev-feature2-880843b
wise-mplus-archiver-restore   harbor.arfa.wise-paas.com/deviceonbi/wise-mplus-archiver-restore:2.0.21
wise-mplus-cleaner            harbor.arfa.wise-paas.com/deviceonbi/wise-mplus-datacleaner:2.0.21
wise-mplus-evaluator          harbor.arfa.wise-paas.com/deviceonbi/wise-mplus-evaluator:fix-2.00.002.03.20230620.1641-09
wise-mplus-notification       harbor.arfa.wise-paas.com/deviceonbi/wise-mplus-notification:2.0.20
wise-mplus-userfunctions      harbor.arfa.wise-paas.com/deviceonbi/wise-mplus-userfunctions:fix-mirai-91cee2b
wise-mplus-worker             harbor.arfa.wise-paas.com/deviceonbi/wise-mplus-worker:2.0.21
