"orgname","oldid","migrationtype"
"SN5-EC-460169",154,"group"
"SN5-EC-520145",158,"group"
"SN5-EC-520155",165,"group"
"SN5-EC-520226",173,"group"
"SN5-JB-320027",129,"group"
"SN5-EC-520123",560,"group"
"SN5-EC-520141",136,"group"
"HDB",85,"group"
"SN5-EC-460089",86,"group"
"SN5-EC-460157",176,"group"
"SN5-JB-330096",225,"group"
"SN5-EC-520150",87,"group"
"SN5-JB-320006",88,"group"
"SN5-JB-300001",89,"group"
"SN5-JB-322104",90,"group"
"SN5-MP-370024",91,"group"
"SN5-MP-370019",92,"group"
"SN5-MP-370064",187,"group"
"SN5-JB-330097",226,"group"
"SN5-EC-460128",307,"group"
"SN5-EC-460086",341,"group"
"SN5-EC-460084",353,"group"
"SN5-EC-460102",354,"group"
"SN5-JB-200801",456,"group"
"SN5-MP-380127",518,"group"
"SN5-EC-520160",167,"group"
"SN5-MP-370060",183,"group"
"SN5-JB-360013",227,"group"
"SN5-EC-462094",308,"group"
"SN5-EC-460087",342,"group"
"SN5-EC-460105",355,"group"
"SN5-EC-520223",457,"group"
"SN5-JB-320109",459,"group"
"SN5-MP-380103",512,"group"
"SN5-EC-520106",112,"group"
"SN5-EC-520229",113,"group"
"SN5-JB-360018",228,"group"
"SN5-EC-520142",309,"group"
"SN5-EC-460088",343,"group"
"SN5-EC-460100",345,"group"
"SN5-EC-460107",356,"group"
"SN5-JB-350116",448,"group"
"SN5-JB-320111",460,"group"
"SN5-MP-380105",513,"group"
"SN5-MP-370054",229,"group"
"SN5-EC-520247",310,"group"
"SN5-EC-460091",344,"group"
"SN5-EC-460108",357,"group"
"SN5-JB-320112",461,"group"
"SN5-MP-380109",514,"group"
"SN5-MP-370057",230,"group"
"SN5-MP-550401",311,"group"
"SN5-EC-460101",346,"group"
"SN5-EC-460119",358,"group"
"SN5-JB-320119",462,"group"
"SN5-MP-380111",515,"group"
"SN5-MP-370058",231,"group"
"SN5-MP-550404",312,"group"
"SN5-EC-520157",347,"group"
"SN5-EC-520244",350,"group"
"SN5-EC-460123",359,"group"
"SN5-JB-321004",463,"group"
"SN5-MP-380122",516,"group"
"SN5-MP-381122",517,"group"
"SN5-MP-370059",232,"group"
"SN5-MP-550405",313,"group"
"SN5-EC-520242",348,"group"
"SN5-EC-461059",360,"group"
"SN5-JB-321020",464,"group"
"SN5-MP-550409",314,"group"
"SN5-MP-550418",322,"group"
"SN5-EC-520243",349,"group"
"SN5-EC-462025",361,"group"
"SN5-JB-321101",465,"group"
"SN5-EC-460122",153,"group"
"SN5-EC-520154",163,"group"
"SN5-EC-520254",180,"group"
"SN5-JB-320120",233,"group"
"SN5-JB-330093",194,"group"
"SN5-MP-550410",315,"group"
"SN5-EC-520245",351,"group"
"SN5-EC-462026",362,"group"
"SN5-JB-320005",375,"group"
"SN5-MP-370085",385,"group"
"SN5-JB-321102",466,"group"
"SN5-EC-460172",155,"group"
"SN5-EC-520148",159,"group"
"SN5-EC-460082",174,"group"
"SN5-JB-320121",234,"group"
"SN5-JB-330094",195,"group"
"SN5-MP-550411",316,"group"
"SN5-EC-520246",352,"group"
"SN5-JB-321106",467,"group"
"SN5-EC-520101",128,"group"
"SN5-EC-460217",151,"group"
"SN5-EC-520230",168,"group"
"SN5-EC-460160",177,"group"
"SN5-MP-370062",184,"group"
"SN5-JB-330095",196,"group"
"SN5-MP-370034",202,"group"
"SN5-JB-320122",235,"group"
"SN5-MP-550412",317,"group"
"SN5-JB-321108",468,"group"
"SN5-EC-520164",166,"group"
"SN5-JB-380043",197,"group"
"SN5-JB-320124",236,"group"
"SN5-MP-550413",318,"group"
"SN5-EC-520130",407,"group"
"SN5-JB-322004",469,"group"
"SN5-MP-550414",319,"group"
"SN5-MP-550419",335,"group"
"SN5-JB-350118",449,"group"
"SN5-JB-330031",470,"group"
"SN5-EC-520136",408,"group"
"SN5-JB-360002",450,"group"
"SN5-JB-320002",471,"group"
"SN5-EC-460163",138,"group"
"SN5-EC-460110",188,"group"
"SN5-EC-520256",189,"group"
"SN5-MP-550420",324,"group"
"SN5-EC-520146",114,"group"
"SN5-MP-370023",145,"group"
"SN5-EC-520255",190,"group"
"SN5-MP-370031",146,"group"
"SN5-JB-380042",131,"group"
"SN5-MP-370043",147,"group"
"SN5-MP-550305",282,"group"
"SN5-EC-520253",181,"group"
"SN5-MP-550203",148,"group"
"SN5-MP-370037",566,"group"
"SN5-MP-550209",149,"group"
"SN5-EC-520149",160,"group"
"SN5-MP-550306",284,"group"
"SN5-MP-380099",567,"group"
"SN5-MP-550407",150,"group"
"SN5-EC-520234",169,"group"
"SN5-MP-370063",178,"group"
"SN5-MP-550307",285,"group"
"SN5-MP-550421",325,"group"
"SN5-EC-460170",409,"group"
"SN5-MP-381121",568,"group"
"SN5-EC-520156",164,"group"
"SN5-MP-370039",214,"group"
"SN5-MP-550312",286,"group"
"SN5-JB-320007",376,"group"
"SN5-EC-460171",156,"group"
"SN5-EC-520231",172,"group"
"SN5-EC-460109",175,"group"
"SN5-EC-520225",115,"group"
"SN5-MP-370040",215,"group"
"SN5-MP-550315",287,"group"
"SN5-MP-550317",288,"group"
"SN5-MP-550422",326,"group"
"SN5-EC-460165",410,"group"
"SN5-JB-190007",525,"group"
"SN5-EC-461094",152,"group"
"SN5-MP-370045",216,"group"
"SN5-MP-550318",289,"group"
"SN5-JB-320008",377,"group"
"SN5-JB-190009",526,"group"
"SN5-MP-370046",217,"group"
"SN5-MP-370047",218,"group"
"SN5-MP-370048",219,"group"
"SN5-JB-360015",120,"group"
"SN5-JB-360017",121,"group"
"SN5-MP-550319",290,"group"
"SN5-JB-190462",527,"group"
"SN5-JB-160003",528,"group"
"SN5-MP-381126",597,"group"
"SN5-EC-460156",140,"group"
"SN5-MP-370049",220,"group"
"SN5-MP-550321",291,"group"
"SN5-JB-380011",451,"group"
"SN5-JB-161004",529,"group"
"SN5-EC-460069",588,"group"
"SN5-MP-380110",598,"group"
"SN5-MP-370050",221,"group"
"SN5-MP-550237",271,"group"
"SN5-MP-550322",292,"group"
"SN5-JB-360004",530,"group"
"SN5-EC-460167",589,"group"
"SN5-MP-431001",599,"group"
"SN5-MP-370051",222,"group"
"SN5-MP-550238",272,"group"
"SN5-MP-550323",293,"group"
"SN5-JB-320009",378,"group"
"SN5-JB-380012",452,"group"
"SN5-EC-520120",520,"group"
"SN5-JB-360020",531,"group"
"SN5-EC-520112",590,"group"
"SN5-MP-370052",223,"group"
"SN5-MP-550239",273,"group"
"SN5-MP-550324",294,"group"
"SN5-EC-520138",521,"group"
"SN5-EC-520135",591,"group"
"SN5-EC-520165",133,"group"
"SN5-MP-370066",182,"group"
"SN5-MP-370069",179,"group"
"SN5-MP-370053",224,"group"
"SN5-MP-550240",274,"group"
"SN5-EC-520162",522,"group"
"SN5-EC-520224",592,"group"
"SN5-EC-520151",161,"group"
"SN5-MP-550241",275,"group"
"SN5-EC-520163",523,"group"
"SN5-EC-520233",170,"group"
"SN5-MP-550242",276,"group"
"SN5-MP-550423",327,"group"
"SN5-EC-520227",524,"group"
"SN5-MP-550243",277,"group"
"SN5-MP-550416",336,"group"
"SN5-EC-460164",157,"group"
"SN5-MP-550245",278,"group"
"SN5-MP-550424",328,"group"
"SN5-EC-460074",337,"group"
"SN5-EC-460159",411,"group"
"SN5-MP-550246",279,"group"
"SN5-EC-460075",338,"group"
"SN5-MP-370021",201,"group"
"SN5-MP-550302",280,"group"
"SN5-EC-460078",339,"group"
"SN5-EC-460081",340,"group"
"SN5-MP-550303",281,"group"
"SN5-JB-380013",453,"group"
"SN5-JB-190004",533,"group"
"SN5-JB-380015",454,"group"
"SN5-MP-550425",329,"group"
"SN5-JB-320011",379,"group"
"SN5-EC-520232",171,"group"
"SN5-EC-460106",363,"group"
"SN5-EC-460125",364,"group"
"SN5-EC-460127",366,"group"
"SN5-MP-370087",380,"group"
"SN5-JB-320014",386,"group"
"SN5-EC-520153",162,"group"
"SN5-EC-460126",365,"group"
"SN5-MP-550426",330,"group"
"SN5-MP-550427",331,"group"
"SN5-JB-320015",387,"group"
"SN5-EC-460135",367,"group"
"SN5-JB-320018",388,"group"
"SN5-JB-380016",455,"group"
"SN5-MP-550325",295,"group"
"SN5-EC-460136",368,"group"
"SN5-EC-460137",369,"group"
"SN5-JB-320019",389,"group"
"SN5-MP-550327",296,"group"
"SN5-EC-460218",370,"group"
"SN5-JB-320023",390,"group"
"SN5-MP-550328",297,"group"
"SN5-MP-550330",299,"group"
"SN5-MP-370065",192,"group"
"SN5-MP-370067",193,"group"
"SN5-MP-550408",371,"group"
"SN5-JB-322103",391,"group"
"SN5-MP-550202",258,"group"
"SN5-MP-550208",259,"group"
"SN5-MP-550232",260,"group"
"SN5-MP-550231",261,"group"
"SN5-MP-550329",298,"group"
"SN5-MP-550204",251,"group"
"SN5-MP-550205",252,"group"
"SN5-MP-550206",253,"group"
"SN5-MP-550207",254,"group"
"SN5-MP-370020",255,"group"
"SN5-MP-550210",256,"group"
"SN5-MP-550201",257,"group"
"SN5-MP-550233",262,"group"
"SN5-MP-550235",263,"group"
"SN5-MP-550234",264,"group"
"SN5-MP-550236",265,"group"
"SN5-JB-322102",266,"group"
"SN5-JB-322101",267,"group"
"SN5-JB-210681",268,"group"
"SN5-MP-550331",300,"group"
"SN5-MP-550333",302,"group"
"SN5-MP-550332",301,"group"
"SN5-MP-550334",303,"group"
"SN5-MP-370093",381,"group"
"SN5-MP-550335",304,"group"
"SN5-JB-320001",372,"group"
"SN5-MP-370044",382,"group"
"SN5-MP-551234",332,"group"
"SN5-MP-550402",305,"group"
"SN5-MP-550415",320,"group"
"SN5-MP-551236",333,"group"
"SN5-MP-370071",383,"group"
"SN5-JB-322002",373,"group"
"SN5-MP-550403",306,"group"
"SN5-MP-550417",321,"group"
"SN5-MP-551232",334,"group"
"SN5-JB-320003",374,"group"
"SN5-MP-370072",384,"group"
