"orgname","equipname","oldid","migrationtype"
"SN5-EC-520101","SN5-EC-520145-PVDB0001",4052,"object"
"SN5-EC-460156","SN5-EC-460156",640,"object"
"SN5-MP-550333","SN5-MP-550333",2066,"object"
"SN5-JB-300001","SN5-JB-300001",198,"object"
"SN5-JB-322104","SN5-JB-322104",199,"object"
"SN5-JB-320006","SN5-JB-320006",197,"object"
"SN5-MP-370019","SN5-MP-370019",201,"object"
"SN5-MP-370024","SN5-MP-370024",200,"object"
"SN5-EC-520150","SN5-EC-520150",196,"object"
"SN5-EC-460089","SN5-EC-460089",195,"object"
"SN5-EC-460169","SN5-EC-460169",827,"object"
"SN5-EC-520155","SN5-EC-520155",929,"object"
"SN5-EC-520106","SN5-EC-520106",426,"object"
"SN5-EC-520225","SN5-EC-520225",447,"object"
"SN5-MP-370031","IRR01",783,"object"
"SN5-EC-520101","IRR01",668,"object"
"SN5-EC-460163","IRR01",690,"object"
"SN5-EC-520146","IRR01",733,"object"
"SN5-EC-520232","SN5-EC-520232",981,"object"
"SN5-EC-520101","LOGGER01",669,"object"
"SN5-MP-370063","SN5-MP-370063",1054,"object"
"SN5-EC-520253","SN5-EC-520253",1077,"object"
"SN5-MP-370064","SN5-MP-370064",1111,"object"
"SN5-JB-320001","SN5-JB-320001",2807,"object"
"SN5-EC-520149","IRR01",893,"object"
"SN5-EC-520145","SN5-EC-520145",870,"object"
"SN5-MP-550334","SN5-MP-550334",2067,"object"
"SN5-MP-370064","SITE",1112,"object"
"SN5-EC-520155","IRR01",936,"object"
"SN5-JB-380042","IRR01",706,"object"
"HDB","HDB-SITES",396,"object"
"SN5-EC-520232","IRR01",987,"object"
"SN5-JB-330095","IRR01",1235,"object"
"SN5-MP-370063","IRR01",1058,"object"
"SN5-EC-520101","PVDB0001",663,"object"
"SN5-MP-370045","IRR01",1345,"object"
"SN5-MP-550333","IRR01",2127,"object"
"SN5-MP-550421","IRR01",2356,"object"
"SN5-EC-462026","IRR01",2691,"object"
"SN5-EC-460163","PVDB0001",687,"object"
"SN5-MP-370031","PVDB0001",778,"object"
"SN5-MP-550422","SITE",2359,"object"
"SN5-EC-520146","PVDB0001",727,"object"
"SN5-MP-550335","SN5-MP-550335",2068,"object"
"SN5-JB-320003","SN5-JB-320003",2809,"object"
"SN5-MP-370043","SN5-MP-370043",759,"object"
"SN5-JB-380042","PVDB0001",703,"object"
"SN5-MP-370044","IRR01",2899,"object"
"SN5-JB-350118","SN5-JB-350118",3171,"object"
"SN5-EC-520155","PVDB0001",930,"object"
"SN5-MP-370045","PVDB0001",1342,"object"
"SN5-JB-330067","SITE",3212,"object"
"SN5-EC-460164","SITE",853,"object"
"SN5-EC-460156","SITE",641,"object"
"SN5-JB-200801","IRR01",3276,"object"
"SN5-JB-330031","IRR01",3368,"object"
"SN5-MP-370071","IRR01",3536,"object"
"SN5-MP-550203","SN5-MP-550203",760,"object"
"SN5-EC-520232","PVDB0001",982,"object"
"SN5-MP-370063","PVDB0001",1055,"object"
"SN5-JB-320005","SN5-JB-320005",2810,"object"
"SN5-MP-370019","SITE",302,"object"
"SN5-EC-520101","INV01",664,"object"
"SN5-MP-550407","INV01",765,"object"
"SN5-MP-370067","SN5-MP-370067",1177,"object"
"SN5-JB-360013","SN5-JB-360013",1420,"object"
"SN5-JB-330095","PVDB0001",1229,"object"
"SN5-MP-370054","INV02",1462,"object"
"SN5-MP-370057","PVDB0001",1470,"object"
"SN5-MP-550402","SN5-MP-550402",2069,"object"
"SN5-EC-520102","SN5-EC-520102",4070,"object"
"SN5-MP-550209","SN5-MP-550209",761,"object"
"SN5-JB-380042","INV01",704,"object"
"SN5-MP-370023","IRR01",776,"object"
"SN5-EC-460163","INV01",688,"object"
"SN5-EC-460169","IRR01",834,"object"
"SN5-EC-520146","INV01",728,"object"
"SN5-MP-550407","INV02",766,"object"
"SN5-EC-520253","LOGGER01",1083,"object"
"SN5-EC-520253","IRR01",1082,"object"
"SN5-MP-550242","SN5-MP-550242",1855,"object"
"SN5-MP-370064","IRR01",1116,"object"
"SN5-EC-520149","PVDB0001",888,"object"
"SN5-MP-370023","LOGGER01",774,"object"
"SN5-EC-520255","IRR01",1154,"object"
"SN5-MP-370031","INV01",779,"object"
"SN5-JB-330097","IRR01",1441,"object"
"SN5-EC-460169","LOGGER01",832,"object"
"SN5-MP-370051","IRR01",1387,"object"
"SN5-MP-550403","SN5-MP-550403",2070,"object"
"SN5-JB-320007","SN5-JB-320007",2811,"object"
"SN5-MP-370064","LOGGER01",1117,"object"
"SN5-EC-520255","LOGGER01",1155,"object"
"SN5-MP-550204","IRR01",1692,"object"
"SN5-MP-370051","LOGGER01",1388,"object"
"SN5-MP-550333","PVDB0001",2124,"object"
"SN5-MP-550421","PVDB0001",2353,"object"
"SN5-EC-520108","SN5-EC-520108",4071,"object"
"SN5-JB-380042","LOGGER01",707,"object"
"SN5-EC-460163","LOGGER01",691,"object"
"SN5-EC-520101","SN5-EC-520101",569,"object"
"SN5-EC-520229","SN5-EC-520229",433,"object"
"SN5-EC-520155","INV01",931,"object"
"SN5-EC-520101","INV02",665,"object"
"SN5-JB-380042","LOCATION",708,"object"
"SN5-EC-520145","IRR01",877,"object"
"SN5-EC-460169","PVDB0001",829,"object"
"SN5-EC-520253","PVDB0001",1079,"object"
"SN5-JB-380042","INV02",705,"object"
"SN5-EC-460163","INV02",689,"object"
"SN5-MP-370064","PVDB0001",1113,"object"
"SN5-EC-462026","PVDB0001",2688,"object"
"SN5-EC-520255","PVDB0001",1151,"object"
"SN5-EC-520145","LOGGER01",875,"object"
"SN5-MP-370051","PVDB0001",1384,"object"
"SN5-JB-320008","SN5-JB-320008",2812,"object"
"SN5-JB-322101","IRR01",1811,"object"
"SN5-MP-550231","IRR01",1764,"object"
"SN5-MP-550302","IRR01",1927,"object"
"SN5-EC-520146","SN5-EC-520146",440,"object"
"SN5-EC-520232","INV01",983,"object"
"SN5-MP-370063","INV01",1056,"object"
"SN5-EC-460156","IRR01",696,"object"
"SN5-EC-520146","INV02",729,"object"
"SN5-MP-370031","INV02",780,"object"
"SN5-JB-330097","PVDB0001",1436,"object"
"SN5-MP-370031","LOGGER01",781,"object"
"SN5-EC-520109","SN5-EC-520109",4072,"object"
"SN5-EC-520145","PVDB0001",872,"object"
"SN5-EC-460156","LOGGER01",697,"object"
"SN5-MP-370045","INV01",1343,"object"
"SN5-JB-320009","SN5-JB-320009",2813,"object"
