"orgname","equipname","oldid","migrationtype"
"HDB","HDB","41&292&img","virtual-device"
"HDB","HDB","41&292&city","virtual-device"
"HDB","HDB","41&292&addr1","virtual-device"
"HDB","HDB","41&292&addr2","virtual-device"
"HDB","HDB","41&292&lat","virtual-device"
"HDB","HDB","41&292&lng","virtual-device"
"HDB","HDB","41&292&regionCode","virtual-device"
"HDB","HDB","41&292&timeZone","virtual-device"
"SN5-EC-460089","SN5-EC-460089","41&293&img","virtual-device"
"SN5-EC-460089","SN5-EC-460089","41&293&city","virtual-device"
"SN5-EC-460089","SN5-EC-460089","41&293&addr1","virtual-device"
"SN5-EC-460089","SN5-EC-460089","41&293&addr2","virtual-device"
"SN5-EC-460089","SN5-EC-460089","41&293&lat","virtual-device"
"SN5-EC-460089","SN5-EC-460089","41&293&lng","virtual-device"
"SN5-EC-460089","SN5-EC-460089","41&293&regionCode","virtual-device"
"SN5-EC-460089","SN5-EC-460089","41&293&timeZone","virtual-device"
"SN5-EC-520165","SN5-EC-520165","41&712&img","virtual-device"
"SN5-JB-300001","SN5-JB-300001","41&296&img","virtual-device"
"SN5-JB-300001","SN5-JB-300001","41&296&city","virtual-device"
"SN5-JB-300001","SN5-JB-300001","41&296&addr1","virtual-device"
"SN5-JB-300001","SN5-JB-300001","41&296&addr2","virtual-device"
"SN5-EC-520150","SN5-EC-520150","41&294&img","virtual-device"
"SN5-EC-520150","SN5-EC-520150","41&294&city","virtual-device"
"SN5-EC-520150","SN5-EC-520150","41&294&addr1","virtual-device"
"SN5-EC-520150","SN5-EC-520150","41&294&addr2","virtual-device"
"SN5-EC-520150","SN5-EC-520150","41&294&lat","virtual-device"
"SN5-EC-520150","SN5-EC-520150","41&294&lng","virtual-device"
"SN5-EC-520150","SN5-EC-520150","41&294&regionCode","virtual-device"
"SN5-EC-520150","SN5-EC-520150","41&294&timeZone","virtual-device"
"SN5-JB-300001","SN5-JB-300001","41&296&lat","virtual-device"
"SN5-JB-300001","SN5-JB-300001","41&296&lng","virtual-device"
"SN5-JB-300001","SN5-JB-300001","41&296&regionCode","virtual-device"
"SN5-JB-300001","SN5-JB-300001","41&296&timeZone","virtual-device"
"SN5-JB-322104","SN5-JB-322104","41&297&img","virtual-device"
"SN5-JB-322104","SN5-JB-322104","41&297&city","virtual-device"
"SN5-JB-322104","SN5-JB-322104","41&297&addr1","virtual-device"
"SN5-JB-322104","SN5-JB-322104","41&297&addr2","virtual-device"
"SN5-JB-322104","SN5-JB-322104","41&297&lat","virtual-device"
"SN5-JB-322104","SN5-JB-322104","41&297&lng","virtual-device"
"SN5-JB-322104","SN5-JB-322104","41&297&regionCode","virtual-device"
"SN5-JB-322104","SN5-JB-322104","41&297&timeZone","virtual-device"
"SN5-MP-370019","SN5-MP-370019","41&299&img","virtual-device"
"SN5-MP-370019","SN5-MP-370019","41&299&city","virtual-device"
"SN5-JB-320006","SN5-JB-320006","41&295&img","virtual-device"
"SN5-JB-320006","SN5-JB-320006","41&295&city","virtual-device"
"SN5-JB-320006","SN5-JB-320006","41&295&addr1","virtual-device"
"SN5-JB-320006","SN5-JB-320006","41&295&addr2","virtual-device"
"SN5-JB-320006","SN5-JB-320006","41&295&lat","virtual-device"
"SN5-JB-320006","SN5-JB-320006","41&295&lng","virtual-device"
"SN5-JB-320006","SN5-JB-320006","41&295&regionCode","virtual-device"
"SN5-JB-320006","SN5-JB-320006","41&295&timeZone","virtual-device"
"SN5-MP-370024","SN5-MP-370024","41&298&img","virtual-device"
"SN5-MP-370024","SN5-MP-370024","41&298&city","virtual-device"
"SN5-MP-370024","SN5-MP-370024","41&298&addr1","virtual-device"
"SN5-MP-370024","SN5-MP-370024","41&298&addr2","virtual-device"
"SN5-MP-370024","SN5-MP-370024","41&298&lat","virtual-device"
"SN5-MP-370024","SN5-MP-370024","41&298&lng","virtual-device"
"SN5-MP-370024","SN5-MP-370024","41&298&regionCode","virtual-device"
"SN5-MP-370024","SN5-MP-370024","41&298&timeZone","virtual-device"
"SN5-MP-370019","SN5-MP-370019","41&299&addr1","virtual-device"
"SN5-MP-370019","SN5-MP-370019","41&299&addr2","virtual-device"
