CONTAINER                     image
api-alarm-wise-mplus          harbor.arfa.wise-paas.com/deviceonbi/api-alarm-wise-mplus:2.1.19
api-cert-revoke               harbor.arfa.wise-paas.com/isensing/api-cert-revoke:2.1.18
api-connservice-deviceon-bi   harbor.arfa.wise-paas.com/deviceonbi/api-connservice-deviceon-bi:2.1.18
api-datapacker-wise-mplus     harbor.arfa.wise-paas.com/deviceonbi/api-datapacker-wise-mplus:2.1.20
api-dbmaster-wise-mplus       harbor.arfa.wise-paas.com/deviceonbi/api-dbmaster-wise-mplus:2.1.18
api-devtool-wise-mplus        harbor.arfa.wise-paas.com/deviceonbi/api-devtool-wise-mplus:2.1.18
api-dm                        harbor.arfa.wise-paas.com/isensing/api-dpm:2.1.18.3
api-forwarding-deviceon-bi    harbor.arfa.wise-paas.com/deviceonbi/api-forwarding-deviceon-bi:2.1.18
api-hub-deviceon-bi           harbor.arfa.wise-paas.com/deviceonbi/api-hub-deviceon-bi:2.1.18
api-org-wise-mplus            harbor.arfa.wise-paas.com/deviceonbi/api-org-wise-mplus:2.1.18
api-plugin-deviceon-bi        harbor.arfa.wise-paas.com/deviceonbi/api-plugin-deviceon-bi:2.1.18
api-portal-wise-mplus         harbor.arfa.wise-paas.com/deviceonbi/api-portal-wise-mplus:2.1.18.3-mirai
api-profile-proxy-mplus       harbor.arfa.wise-paas.com/deviceonbi/api-profile-proxy-mplus:2.1.18
api-profile-server-mplus      harbor.arfa.wise-paas.com/deviceonbi/api-profile-server-mplus:2.1.18
api-report-deviceon-bi        harbor.arfa.wise-paas.com/deviceonbi/api-report-deviceon-bi:2.1.18
api-soe                       harbor.arfa.wise-paas.com/deviceonbi/api-soe:2.1.18
api-sqlhandler-deviceon-bi    harbor.arfa.wise-paas.com/deviceonbi/api-sqlhandler-deviceon-bi:2.1.18
api-subscribe-deviceon-bi     harbor.arfa.wise-paas.com/deviceonbi/api-subscribe-deviceon-bi:2.1.18
apphub-config                 harbor.arfa.wise-paas.com/isensing/device-config:2.1.18
batch-device                  harbor.arfa.wise-paas.com/isensing/batch-device:2.1.18
dashboard-pro                 harbor.wise-paas.com/app-production/dashboard/dashboard:3.0.30
dc-ifp-data-handler           harbor.arfa.wise-paas.com/deviceonbi/dc-ifp-data-handler:2.1.18
dc-import-export-service      harbor.arfa.wise-paas.com/deviceonbi/dc-import-export-service:2.1.18
dc-redis-forwarder            harbor.arfa.wise-paas.com/deviceonbi/dc-redis-forwarder:2.1.18
device-config                 harbor.arfa.wise-paas.com/isensing/device-config:2.1.18
dm-playbook                   harbor.arfa.wise-paas.com/isensing/dm-playbook:2.1.18.1
dpm-cert-notify               harbor.arfa.wise-paas.com/isensing/cert-notify:2.1.18
dpm-cleaner                   harbor.arfa.wise-paas.com/isensing/dpm-cleaner:2.1.18
ifp-release-notes             harbor.arfa.wise-paas.com/ifactory/ifp-release-notes:1.6.5
ifp-tenant                    harbor.arfa.wise-paas.com/ifactory/ifp-tenant:1.5.0
lora-parser                   harbor.arfa.wise-paas.com/isensing/lora-parser:2.1.18
mqtt-proxy                    harbor.arfa.wise-paas.com/isensing/nginx:2.1.18
notification                  harbor.wise-paas.com/app-production/notification/portal-notification:1.2.13
pivot-api-hub                 harbor.arfa.wise-paas.com/ifactory/ifp-api-hub:2.9.1
pivot-calculator              harbor.arfa.wise-paas.com/ifactory/ifp-calculator:1.5.0
pivot-dashboard-importer      harbor.arfa.wise-paas.com/ifactory/ifp-dashboard-importer:1.3.3
pivot-data-hub-api            harbor.arfa.wise-paas.com/ifactory/ifp-data-hub:2.6.1
pivot-data-hub-inbound        harbor.arfa.wise-paas.com/ifactory/ifp-data-hub:2.6.1
pivot-enabler                 harbor.arfa.wise-paas.com/ifactory/ifp-enabler:2.7.2
pivot-etcd                    harbor.arfa.wise-paas.com/ifactory/etcd:3.5.10
pivot-pre-process             harbor.arfa.wise-paas.com/ifactory/ifp-pre-process:1.4.0
portal-dataconnect            harbor.arfa.wise-paas.com/deviceonbi/portal-dataconnect:2.1.18
portal-dpm                    harbor.arfa.wise-paas.com/isensing/portal-dm:2.1.18.1
portal-manage                 harbor.arfa.wise-paas.com/isensing/portal-manage:2.1.18
portal-wise-mplus             harbor.arfa.wise-paas.com/deviceonbi/portal-wise-mplus:2.1.18
redis                         harbor.arfa.wise-paas.com/database/redis:6.0.5-debian-10-r32
saas-composer                 harbor.wise-paas.com/app-production/saas-composer/saas-composer:3.3.1
tenant-etcd                   harbor.arfa.wise-paas.com/ifactory/etcd:3.5.10
wise-mplus-archiver           harbor.arfa.wise-paas.com/deviceonbi/wise-mplus-archiver:dev-check_memoryInfoError_f20-2bccbfe
wise-mplus-archiver-restore   harbor.arfa.wise-paas.com/deviceonbi/wise-mplus-archiver-restore:2.1.18.1
wise-mplus-cleaner            harbor.arfa.wise-paas.com/deviceonbi/wise-mplus-datacleaner:fix-patch-2.1.18
wise-mplus-evaluator          harbor.arfa.wise-paas.com/deviceonbi/wise-mplus-evaluator:fix-patch-2.1.18
wise-mplus-notification       harbor.arfa.wise-paas.com/deviceonbi/wise-mplus-notification:2.1.18
wise-mplus-userfunctions      harbor.arfa.wise-paas.com/deviceonbi/wise-mplus-userfunctions:2.1.18
wise-mplus-worker             harbor.arfa.wise-paas.com/deviceonbi/wise-mplus-worker:2.1.19
