CONTAINER                     cpu/r   cpu/l   mem/r   mem/l
api-alarm-wise-mplus          50m     200m    512Mi   4Gi
api-cert-revoke               200m    200m    256Mi   256Mi
api-connservice-deviceon-bi   100m    200m    512Mi   512Mi
api-datapacker-wise-mplus     50m     500m    512Mi   1Gi
api-dbmaster-wise-mplus       200m    500m    1Gi     3Gi
api-devtool-wise-mplus        100m    200m    512Mi   512Mi
api-dm                        200m    200m    512Mi   512Mi
api-forwarding-deviceon-bi    100m    200m    512Mi   512Mi
api-hub-deviceon-bi           100m    200m    512Mi   512Mi
api-org-wise-mplus            100m    1       1Gi     1Gi
api-plugin-deviceon-bi        100m    200m    512Mi   512Mi
api-portal-wise-mplus         100m    500m    512Mi   512Mi
api-profile-proxy-mplus       100m    200m    512Mi   512Mi
api-profile-server-mplus      100m    200m    512Mi   512Mi
api-report-deviceon-bi        100m    200m    512Mi   512Mi
api-soe                       100m    200m    512Mi   512Mi
api-sqlhandler-deviceon-bi    100m    200m    512Mi   512Mi
api-subscribe-deviceon-bi     100m    200m    512Mi   512Mi
apphub-config                 200m    200m    512Mi   512Mi
batch-device                  200m    200m    512Mi   512Mi
dashboard-pro                 200m    200m    512Mi   512Mi
dc-ifp-data-handler           100m    200m    512Mi   512Mi
dc-import-export-service      100m    200m    512Mi   512Mi
dc-redis-forwarder            100m    200m    512Mi   512Mi
device-config                 200m    200m    512Mi   512Mi
dm-playbook                   100m    100m    256Mi   256Mi
dpm-cert-notify               100m    100m    256Mi   256Mi
dpm-cleaner                   60m     60m     250Mi   250Mi
ifp-release-notes             10m     200m    64Mi    128Mi
ifp-tenant                    50m     200m    256Mi   512Mi
lora-parser                   60m     60m     128Mi   128Mi
mqtt-proxy                    15m     15m     32Mi    32Mi
notification                  100m    100m    256Mi   256Mi
pivot-api-hub                 50m     1       512Mi   2Gi
pivot-calculator              50m     200m    256Mi   512Mi
pivot-dashboard-importer      50m     200m    256Mi   512Mi
pivot-data-hub-api            100m    500m    1Gi     1Gi
pivot-data-hub-inbound        100m    500m    512Mi   1Gi
pivot-enabler                 50m     200m    512Mi   1Gi
pivot-etcd                    50m     100m    512Mi   512Mi
pivot-pre-process             50m     200m    512Mi   512Mi
portal-dataconnect            100m    200m    512Mi   512Mi
portal-dpm                    120m    120m    256Mi   256Mi
portal-manage                 60m     60m     128Mi   128Mi
portal-wise-mplus             100m    200m    512Mi   512Mi
redis                         100m    2       256Mi   4G
saas-composer                 300m    300m    768Mi   768Mi
tenant-etcd                   50m     200m    512Mi   1Gi
wise-mplus-archiver           100m    1       1Gi     4Gi
wise-mplus-archiver-restore   100m    1       512Mi   2Gi
wise-mplus-cleaner            30m     100m    128Mi   256Mi
wise-mplus-evaluator          80m     1       256Mi   4Gi
wise-mplus-notification       100m    200m    512Mi   512Mi
wise-mplus-userfunctions      100m    200m    512Mi   512Mi
wise-mplus-worker             500m    1500m   1Gi     4Gi
